CCTV,#genre#
CCTV1,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv1hd/1200/index.m3u8?msisdn=792fb995f734810776b1081a3a046cb4&mdspid=&spid=699004&netType=0&sid=2201057821&pid=2028597139&timestamp=20260926135029&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=39.103.188.159&SecurityKey=20260926135029&promotionId=&mvid=2201057821&mcid=500020&playurlVersion=WX-A1-9.9.2-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=b8baa43782b8a09eddf90261b89c2a70&ddCalcu=0b78vaba2aycaa9483b718622b089af0d9de&sv=10004&ct=android
CCTV2,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv2hd/1500/index.m3u8?msisdn=1cf022efb9ec2d063ed68950aa1f8b38&mdspid=&spid=699004&netType=0&sid=5500346945&pid=2028597139&timestamp=20260926135029&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=631780532&ParentNodeID=-99&assertID=5500346945&client_ip=39.103.182.111&SecurityKey=20260926135029&promotionId=&mvid=5101064231&mcid=500020&playurlVersion=WX-A1-9.9.2-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=0cb2ccd637071cc8fc6c9fd5076d8473&ddCalcu=307cv4ba82zdca6c7d0653d7f097c16cccf8&sv=10004&ct=android
CCTV3,http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv3hd/2000/index.m3u8?msisdn=1cf022efb9ec2d063ed68950aa1f8b38&mdspid=&spid=699004&netType=0&sid=5500212864&pid=2028597139&timestamp=20260926135029&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=624878271&ParentNodeID=-99&assertID=5500212864&client_ip=39.103.182.111&SecurityKey=20260926135029&promotionId=&mvid=5100001683&mcid=500020&playurlVersion=WX-A1-9.9.2-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=bc6a95646a6d11b27206f8f8528e1b5d&ddCalcu=db5cvb6a1aae9a85265486fa86fd61012b72&sv=10004&ct=android
CCTV4,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv4hd/1500/index.m3u8?msisdn=48ee5fa682d77879baa373f1111e794f&mdspid=&spid=699004&netType=0&sid=5500346947&pid=2028597139&timestamp=20260926135029&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=631780421&ParentNodeID=-99&assertID=5500346947&client_ip=39.103.188.159&SecurityKey=20260926135029&promotionId=&mvid=5101064235&mcid=500020&playurlVersion=WX-A1-9.9.2-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=7f5e0080823f1a843d3107521e245b04&ddCalcu=470fvb5a5ey40a20e8102852730f113ad834&sv=10004&ct=android
CCTV6,http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv6hd/2000/index.m3u8?msisdn=6362dfb6e438a8809267e3a5c1a309e8&mdspid=&spid=699004&netType=0&sid=5500212872&pid=2028597139&timestamp=20260926135031&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=624878396&ParentNodeID=-99&assertID=5500212872&client_ip=39.103.188.159&SecurityKey=20260926135031&promotionId=&mvid=5100001694&mcid=500020&playurlVersion=WX-A1-9.9.2-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=d38525f3c5c4fa863294c4a94569813b&ddCalcu=bd33v18a85b92a655f439ca54cc44f9a2836&sv=10004&ct=android
CCTV7,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv7hd/51/index.m3u8?msisdn=74c776297e98aa99be0f958157c730df&mdspid=&spid=699004&netType=0&sid=5501083622&pid=2028597139&timestamp=20260926135030&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=673168121&ParentNodeID=-99&assertID=5501083622&client_ip=39.103.182.111&SecurityKey=20260926135030&promotionId=&mvid=5102910278&mcid=500020&playurlVersion=WX-A1-9.9.2-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=ebcb760778c2f4175201315fe8f7b1cd&ddCalcu=decbv1cabbd77af680e7f7581c321f042157&sv=10004&ct=android
CCTV8,http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv8hd/2000/index.m3u8?msisdn=f22c746c2398fdcb477b1e3ea5ac8e19&mdspid=&spid=699004&netType=0&sid=5500212868&pid=2028597139&timestamp=20260926135031&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=624878356&ParentNodeID=-99&assertID=5500212868&client_ip=39.103.182.111&SecurityKey=20260926135031&promotionId=&mvid=5100001695&mcid=500020&playurlVersion=WX-A1-9.9.2-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=cbaabc152f29081762e3b50122aa2d4a&ddCalcu=ac4bvdaa2ababaac2125120f52b930e82167&sv=10004&ct=android
CCTV9,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv9hd/51/index.m3u8?msisdn=653b92aafca71b5ac2b2e460a1e52983&mdspid=&spid=699004&netType=0&sid=5501083624&pid=2028597139&timestamp=20260926135031&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=673168140&ParentNodeID=-99&assertID=5501083624&client_ip=39.103.188.159&SecurityKey=20260926135031&promotionId=&mvid=5102910384&mcid=500020&playurlVersion=WX-A1-9.9.2-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=5cfab0c9fdbdbd7ce7da4c574d5680d5&ddCalcu=55dcv0fa8ad6ba50dc497f5dcb4dabdd77ec&sv=10004&ct=android
CCTV10,http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv10hd/2000/index.m3u8?msisdn=66d5c7666219b4047ba1f00bd4d029ac&mdspid=&spid=699004&netType=0&sid=5500212874&pid=2028597139&timestamp=20260926135032&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=624878405&ParentNodeID=-99&assertID=5500212874&client_ip=39.103.188.159&SecurityKey=20260926135032&promotionId=&mvid=5100001696&mcid=500020&playurlVersion=WX-A1-9.9.2-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=f862b11c52dfcee7801e18bf526ecd47&ddCalcu=7f48vd6ac2yeba61215cf5b28d1fec1e0e87&sv=10004&ct=android
CCTV11,http://gslbmgsplive.miguvideo.com/migu/kailu/cctv11hd/51/20200103/index.m3u8?msisdn=4b37507795736d9278c1d7c59cbf551f&mdspid=&spid=699004&netType=0&sid=5500988610&pid=2028597139&timestamp=20260926135032&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=667987558&ParentNodeID=-99&assertID=5500988610&client_ip=39.103.182.111&SecurityKey=20260926135032&promotionId=&mvid=5102751362&mcid=500020&playurlVersion=WX-A1-9.9.2-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=ec5276424610361c73bdd9313533d5d8&ddCalcu=8edcv55ad2z37a365432143691d0d3b6317c&sv=10004&ct=android
